area,lat,lon,district,name,population,state
59.88,48.71667,8.73333,Calw,Calw,23716,Baden-Württemberg
51.66,51.550,7.317,Recklinghausen,Castrop-Rauxel,73126,North Rhine-Westphalia
176.01,52.62556,10.08250,Celle,Celle,69399,Lower Saxony
80.67,49.217,12.650,Cham,Cham,17053,Bavaria
220.85,50.833,12.917,Urban districts of Germany,Chemnitz,244401,Saxony
43.71,51.80500,10.33556,Goslar,Clausthal-Zellerfeld,14844,Lower Saxony
10.75,51.21667,10.93333,Kyffhäuserkreis,Clingen,1058,Thuringia
70.62,52.850,8.050,Cloppenburg,Cloppenburg,35966,Lower Saxony
48.30,50.267,10.967,Urban district,Coburg,40842,Bavaria
21.21,50.14694,7.16667,Cochem-Zell,Cochem,5256,Rhineland-Palatinate
141.05,51.950,7.167,Coesfeld,Coesfeld,36182,North Rhine-Westphalia
83.55,51.12917,12.80694,Leipzig,Colditz,8374,Saxony
405.15,50.93639,6.95278,Urban districts of Germany,Cologne,1083498,North Rhine-Westphalia
55.65,47.667,9.183,Konstanz,Constance,84446,Baden-Württemberg
25.85,51.133,13.583,Meißen,Coswig,20694,Saxony
295.73,51.883,12.433,Wittenberg,Coswig,11521,Saxony-Anhalt
164.28,51.76056,14.33417,Urban district,Cottbus/Chóśebuz,98693,Brandenburg
109.08,49.13472,10.07056,Schwäbisch Hall,Crailsheim,34661,Baden-Württemberg
117.22,49.467,10.033,Main-Tauber-Kreis,Creglingen,4631,Baden-Württemberg
64.89,49.8439861,11.6226750,Bayreuth,Creußen,4994,Bavaria
61.04,50.81806,12.38750,Zwickau,Crimmitschau,18167,Saxony
75.48,53.583,11.650,Ludwigslust-Parchim,Crivitz,4780,Mecklenburg-Western Pomerania
161.91,53.86111,8.69444,Cuxhaven,Cuxhaven,48326,Lower Saxony
19.56,50.73972,7.96833,Altenkirchen,Daaden,4214,Rhineland-Palatinate
34.85,48.26028,11.43417,Dachau,"Dachau, Bavaria",47680,Bavaria
71.68,51.367,13.000,Nordsachsen,Dahlen,4189,Saxony
162.02,51.86667,13.43306,Teltow-Fläming,Dahme,4862,Brandenburg
40.75,49.150,7.783,Südwestpfalz,Dahn,4572,Rhineland-Palatinate
104.45,52.52083,8.19861,Vechta,Damme,17250,Lower Saxony
76.31,53.083,11.083,Lüchow-Dannenberg,Dannenberg,8117,Lower Saxony
117.15,53.883,12.833,Mecklenburgische Seenplatte,Dargun,4331,Mecklenburg-Western Pomerania
122.23,49.87222,8.65278,Urban district,Darmstadt,159174,Hesse
113.02,51.80333,9.69028,Northeim,Dassel,9510,Lower Saxony
66.54,53.91056,10.97222,Nordwestmecklenburg,Dassow,4102,Mecklenburg-Western Pomerania
66.08,51.65389,7.34167,Recklinghausen,Datteln,34714,North Rhine-Westphalia
48.97,50.19861,6.83194,Vulkaneifel,Daun,8001,Rhineland-Palatinate
77.21,48.833,12.967,Deggendorf,Deggendorf,33750,Bavaria
26.53,49.40750,8.18639,Bad Dürkheim,Deidesheim,3738,Rhineland-Palatinate
157.26,51.76667,8.56667,Paderborn,Delbrück,32039,North Rhine-Westphalia
83.57,51.52639,12.34250,Nordsachsen,Delitzsch,24755,Saxony
62.36,53.05056,8.63167,Urban district,Delmenhorst,77503,Lower Saxony
80.653,53.90500,13.04389,Mecklenburgische Seenplatte,Demmin,10523,Mecklenburg-Western Pomerania
244.62,51.833,12.250,Urban district,Dessau-Roßlau,79354,Saxony-Anhalt
129.39,51.93778,8.88333,Lippe,Detmold,74097,North Rhine-Westphalia
60.94,49.800,10.183,Kitzingen,Dettelbach,7266,Bavaria
23.11,49.90000,8.85000,Darmstadt-Dieburg,Dieburg,15537,Hesse
82.58,51.46000,8.98000,Waldeck-Frankenberg,Diemelstadt,5213,Hesse
104.45,52.60722,8.37111,Diepholz,Diepholz,17152,Lower Saxony
31.90,50.54889,7.65944,Neuwied,Dierdorf,5767,Rhineland-Palatinate
18.76,48.21194,10.07333,Alb-Donau-Kreis,Dietenheim,6798,Baden-Württemberg
78.84,49.033,11.583,Neumarkt in der Oberpfalz,Dietfurt a.d. Altmühl,6150,Bavaria
21.67,50.017,8.783,Offenbach,Dietzenbach,34429,Hesse
12.41,50.37083,8.01583,Rhein-Lahn-Kreis,"Diez, Germany",11072,Rhineland-Palatinate
83.88,50.733,8.283,Lahn-Dill-Kreis,Dillenburg,23261,Hesse
75.59,48.567,10.467,Dillingen,Dillingen an der Donau,19314,Bavaria
22.07,49.350,6.733,Saarlouis,Dillingen,19801,Saarland
59.39,51.31556,10.31944,Eichsfeld,Dingelstädt,6834,Thuringia
44.04,48.633,12.500,Dingolfing-Landau,Dingolfing,20003,Bavaria
75.19,49.07083,10.31944,Ansbach,Dinkelsbühl,11882,Bavaria
72.65,52.667,8.133,Vechta,Dinklage,13158,Lower Saxony
47.67,51.567,6.733,Wesel,Dinslaken,67338,North Rhine-Westphalia
104.13,50.89333,13.66667,Sächsische Schweiz-Osterzgebirge,Dippoldiswalde,14180,Saxony
31.9,52.117,8.200,Osnabrück,"Dissen, Lower Saxony",10242,Lower Saxony
30.40,48.82639,9.06667,Ludwigsburg,Ditzingen,24719,Baden-Württemberg
148.93,51.617,13.567,Elbe-Elster,Doberlug-Kirchhain,8686,Brandenburg
28.57,50.95472,13.85750,Sächsische Schweiz-Osterzgebirge,Dohna,6163,Saxony
30.20,51.650,12.883,Nordsachsen,Dommitzsch,2426,Saxony
104.63,47.95306,8.50333,Schwarzwald-Baar-Kreis,Donaueschingen,22205,Baden-Württemberg
77.02,48.700,10.800,Donau-Ries,Donauwörth,19593,Bavaria
39.82,48.683,9.817,Göppingen,Donzdorf,10587,Baden-Württemberg
99.60,48.267,12.150,Erding,Dorfen,14790,Bavaria
85.4,51.100,6.817,Rhein-Kreis Neuss,Dormagen,64500,North Rhine-Westphalia
30.72,51.05389,11.70750,Saale-Holzland-Kreis,Dornburg-Camburg,5315,Thuringia
44.93,48.34944,8.51222,Rottweil,Dornhan,6105,Baden-Württemberg
24.21,48.467,8.500,Freudenstadt,Dornstetten,8095,Baden-Württemberg
171,51.66000,6.96417,Recklinghausen,Dorsten,74515,North Rhine-Westphalia
280.71,51.517,7.467,Urban district,Dortmund,587696,North Rhine-Westphalia
28,51.500,9.767,Göttingen,Dransfeld,4424,Lower Saxony
142.94,51.650,14.217,Spree-Neiße,Drebkau,5508,Brandenburg
53.328,50.000,8.700,Offenbach,Dreieich,41996,Hesse
106.42,51.79444,7.73917,Warendorf,Drensteinfurt,15540,North Rhine-Westphalia
328.8,51.05000,13.74000,Urban district,Dresden,556227,Saxony
67.12,51.033,7.767,Olpe,Drolshagen,11640,North Rhine-Westphalia
95.61,51.51250,10.25972,Göttingen,Duderstadt,20281,Lower Saxony
232.82,51.43472,6.76250,Urban district,Duisburg,495885,North Rhine-Westphalia
84.55,51.11944,13.11278,Mittelsachsen,Döbeln,23467,Saxony
15.73,51.617,14.600,Spree-Neiße,Döbern,3166,Brandenburg
60.38,53.13833,11.26333,Ludwigslust-Parchim,Dömitz,2990,Mecklenburg-Western Pomerania
184.49,51.83083,7.27833,Coesfeld,Dülmen,46706,North Rhine-Westphalia
85.02,50.800,6.483,Düren,Düren,91272,North Rhine-Westphalia
217.41,51.233,6.783,,Düsseldorf,620523,North Rhine-Westphalia
44.54,51.28333,10.73333,Kyffhäuserkreis,Ebeleben,2658,Thuringia
81.16,49.467,8.983,Rhein-Neckar-Kreis,Eberbach,14267,Baden-Württemberg
49.97,49.767,11.167,Forchheim,Ebermannstadt,6951,Bavaria
95.02,50.10000,10.79361,Haßberge,Ebern,7230,Bavaria
26.27,48.71472,9.52361,Göppingen,Ebersbach an der Fils,15558,Baden-Württemberg
20.42,51.000,14.600,Görlitz,Ebersbach-Neugersdorf,11679,Saxony
40.84,48.083,11.967,Ebersberg,Ebersberg,12213,Bavaria
58.17,52.833,13.833,Barnim,Eberswalde,40965,Brandenburg
35.95,51.117,11.550,Burgenlandkreis,Eckartsberga,2322,Saxony-Anhalt
17.97,54.47417,9.83778,Rendsburg-Eckernförde,"Eckernförde Eckernföör, Egernførde",21637,Schleswig-Holstein
17.90,49.283,8.133,Südliche Weinstraße,Edenkoben,6698,Rhineland-Palatinate
29.13,51.950,11.433,Salzlandkreis,Egeln,3200,Saxony-Anhalt
44.50,48.40389,12.76417,Rottal-Inn,Eggenfelden,13817,Bavaria
88.01,53.683,14.083,Vorpommern-Greifswald,Eggesin,4711,Mecklenburg-Western Pomerania
178.40,48.28333,9.72361,Alb-Donau-Kreis,Ehingen,26398,Baden-Württemberg
15.86,50.64611,12.96972,Erzgebirgskreis,Ehrenfriedersdorf,4638,Saxony
7.07,49.7238806,10.0009306,Würzburg,Eibelstadt,3094,Bavaria
112.35,50.49556,12.59750,Erzgebirgskreis,Eibenstock,7193,Saxony
47.78,48.89194,11.18389,Eichstätt,Eichstätt,13343,Bavaria
46.84,51.46083,12.63583,Nordsachsen,Eilenburg,15662,Saxony
231.31,51.817,9.867,Northeim,Einbeck,30449,Lower Saxony
104.17,50.97611,10.32056,Wartburgkreis,Eisenach,41970,Thuringia
18.73,49.56139,8.07250,Donnersbergkreis,Eisenberg,9335,Rhineland-Palatinate
24.85,50.96667,11.90000,Saale-Holzland-Kreis,Eisenberg,10704,Thuringia
63.40,52.14500,14.67278,Oder-Spree,Eisenhüttenstadt,23373,Brandenburg
86.53,50.417,10.917,Hildburghausen,Eisfeld,7575,Thuringia
143.81,51.517,11.550,Mansfeld-Südharz,Eisleben,22668,Saxony-Anhalt
16.41,48.69333,9.70667,Göppingen,Eislingen,21243,Baden-Württemberg
31.25,49.017,10.967,Weißenburg-Gunzenhausen,Ellingen,3960,Bavaria
69.42,51.58556,10.66806,Nordhausen,Ellrich,5394,Thuringia
127.4,48.96111,10.13056,Ostalbkreis,Ellwangen,24477,Baden-Württemberg
21.36,53.75194,9.65111,Pinneberg,Elmshorn,49948,Schleswig-Holstein
66.00,50.933,6.567,Rhein-Erft-Kreis,Elsdorf,21745,North Rhine-Westphalia
115.15,53.233,8.467,Wesermarsch,Elsfleth,9086,Lower Saxony
25.1,50.600,12.167,Vogtlandkreis,Elsterberg,3828,Saxony
40.55,51.45778,13.52389,Elbe-Elster,Elsterwerda,7800,Brandenburg
32.65,51.22083,14.13083,Bautzen,Elstra,2704,Saxony
45.87,50.57694,12.86722,Erzgebirgskreis,Elterlein,2809,Saxony
39.97,49.967,10.667,Haßberge,Eltmann,5370,Bavaria
46.77,50.02556,8.11917,Rheingau-Taunus-Kreis,Eltville,16946,Hesse
75.28,48.17472,8.07167,Emmendingen,Elzach,7322,Baden-Württemberg
47.71,52.117,9.733,Hildesheim,Elze,8975,Lower Saxony
112.33,53.36694,7.20611,Urban district,Emden,49874,Lower Saxony
7.91,50.15528,7.55167,Rhein-Hunsrück-Kreis,Emmelshausen,4967,Rhineland-Palatinate
33.80,48.12139,7.84917,Emmendingen,Emmendingen,28051,Baden-Württemberg
80.11,51.83500,6.24528,Kleve,Emmerich,30869,North Rhine-Westphalia
72.06,52.17278,7.53444,Steinfurt,Emsdetten,36068,North Rhine-Westphalia
26.72,48.14083,7.70639,Emmendingen,Endingen,10227,Baden-Württemberg
70.53,47.85278,8.77139,Konstanz,Engen,10942,Baden-Württemberg
41.21,52.13333,8.56667,Herford,Enger,20469,North Rhine-Westphalia
57.42,51.283,7.333,Ennepe-Ruhr-Kreis,Ennepetal,30117,North Rhine-Westphalia
125.15,51.83667,8.02556,Warendorf,Ennigerloh,19554,North Rhine-Westphalia
5.7,49.400,8.633,Rhein-Neckar-Kreis,Eppelheim,15276,Baden-Württemberg
88.59,49.133,8.917,Heilbronn,Eppingen,22024,Baden-Württemberg
24.21,50.133,8.400,Main-Taunus-Kreis,Eppstein,13620,Hesse
63.92,48.32806,9.88778,Alb-Donau-Kreis,Erbach,13728,Baden-Württemberg
62.67,49.65833,8.99583,Odenwaldkreis,Erbach,13813,Hesse
67.55,49.833,12.050,Tirschenreuth,Erbendorf,5032,Bavaria
54.64,48.283,11.900,Erding,Erding,36455,Bavaria
119.88,50.817,6.767,Rhein-Erft-Kreis,Erftstadt,50060,North Rhine-Westphalia
269.17,50.98333,11.03333,Urban district,Erfurt,213692,Thuringia
117.35,51.083,6.317,Heinsberg,Erkelenz,43275,North Rhine-Westphalia
16.60,52.417,13.750,Oder-Spree,Erkner,11935,Brandenburg
26.89,51.22389,6.91472,Mettmann,Erkrath,43878,North Rhine-Westphalia
76.95,49.583,11.017,Urban district,Erlangen,112385,Bavaria
16.33,49.80389,9.16389,Miltenberg,Erlenbach a.Main,10235,Bavaria
18.59,50.133,8.933,Main-Kinzig-Kreis,Erlensee,15428,Hesse
73.79,51.617,8.350,Soest,Erwitte,16117,North Rhine-Westphalia
12.14,50.14361,8.57000,Main-Taunus-Kreis,Eschborn,21641,Hesse
35.16,49.750,11.817,Neustadt a.d.Waldnaab,Eschenbach in der Oberpfalz,4237,Bavaria
23.87,51.917,9.650,Holzminden,Eschershausen,3461,Lower Saxony
63.27,51.18806,10.05278,Werra-Meißner-Kreis,Eschwege,19365,Hesse
76.559,50.817,6.283,Aachen,Eschweiler,56172,North Rhine-Westphalia
84.1,52.37722,8.63278,Minden-Lübbecke,Espelkamp,24676,North Rhine-Westphalia
26.83,53.64694,7.61278,Wittmund,Essen,7310,Lower Saxony
210.34,51.45083,7.01306,Urban district,Essen,582415,North Rhine-Westphalia
46.43,48.73333,9.31667,Esslingen,Esslingen am Neckar,92722,Baden-Württemberg
48.90,48.25556,7.81194,Ortenaukreis,Ettenheim,13500,Baden-Württemberg
56.74,48.933,8.400,Karlsruhe,Ettlingen,39401,Baden-Württemberg
139.63,50.65972,6.79167,Euskirchen,Euskirchen,58466,North Rhine-Westphalia
41.4,54.13778,10.61806,Ostholstein,Eutin,16960,Schleswig-Holstein
81.80,51.58306,13.23222,Elbe-Elster,Falkenberg/Elster,6317,Brandenburg
43.30,52.55833,13.09167,Havelland,Falkensee,44236,Brandenburg
102.98,51.733,11.333,Harz,Falkenstein/Harz,5269,Saxony-Anhalt
31.06,50.467,12.367,Vogtlandkreis,Falkenstein,7888,Saxony
185.45,54.4454,11.1702,Ostholstein,Fehmarn,12875,Schleswig-Holstein
27.70,48.80861,9.27583,Rems-Murr-Kreis,Fellbach,45430,Baden-Württemberg
83.27,51.133,9.417,Schwalm-Eder-Kreis,Felsberg,10568,Hesse
137.40,49.167,10.317,Ansbach,Feuchtwangen,12543,Bavaria
38.54,48.68028,9.21833,Esslingen,Filderstadt,45958,Baden-Württemberg
76.91,51.628243,13.710210,Elbe-Elster,Finsterwalde,15968,Brandenburg
46.37,50.52111,10.14528,Rhön-Grabfeld,Fladungen,2203,Bavaria
56.38,54.78194,9.43667,Urban district,Flensburg,89934,Schleswig-Holstein
39.60,50.31583,8.86306,Wetteraukreis,Florstadt,8803,Hesse
27.61,50.85583,13.07139,Mittelsachsen,Flöha,10607,Saxony
22.95,50.017,8.433,Main-Taunus-Kreis,Flörsheim am Main,21695,Hesse
44.95,49.71972,11.05806,Forchheim,Forchheim,32374,Bavaria
38.07,49.283,9.567,Hohenlohekreis,Forchtenberg,5141,Baden-Württemberg
109.91,51.733,14.633,Spree-Neiße,Forst (Lausitz),17691,Brandenburg
57.29,51.100,8.933,Waldeck-Frankenberg,Frankenau,2875,Hesse
124.87,51.05889,8.79667,Waldeck-Frankenberg,Frankenberg,17678,Hesse
65.42,50.91083,13.03778,Mittelsachsen,Frankenberg,13784,Saxony
43.78,49.533,8.350,urban district,Frankenthal (Pfalz),48750,Rhineland-Palatinate
147.61,52.341944,14.551667,Urban district,Frankfurt (Oder),57015,Brandenburg
248.31,50.117,8.683,Urban district,Frankfurt am Main,764104,Hesse
15.19,54.167,12.867,Vorpommern-Rügen,Franzburg,1364,Mecklenburg-Western Pomerania
58.83,50.80194,13.53806,Mittelsachsen,Frauenstein,2733,Saxony
45.11,50.917,6.817,Rhein-Erft-Kreis,Frechen,51947,North Rhine-Westphalia
13.14,48.93333,9.20000,Ludwigsburg,Freiberg am Neckar,15976,Baden-Württemberg
48.05,50.91194,13.34278,Mittelsachsen,Freiberg,39948,Saxony
153.07,47.983,7.850,Stadtkreis,Freiburg im Breisgau,230940,Baden-Württemberg
14.79,47.83333,12.96667,Berchtesgadener Land,Freilassing,17289,Bavaria
13.61,49.50750,8.20861,Bad Dürkheim,Freinsheim,4923,Rhineland-Palatinate
88.45,48.40278,11.74889,Freising,Freising,48872,Bavaria
40.53,51.01667,13.65000,Sächsische Schweiz-Osterzgebirge,Freital,39405,Saxony
48.81,52.467,7.533,Emsland,Freren,5115,Lower Saxony
34.78,49.750,9.333,Main-Tauber-Kreis,Freudenberg,3738,Baden-Württemberg
54.48,50.89972,7.86667,Siegen-Wittgenstein,Freudenberg,17729,North Rhine-Westphalia
87.58,48.46333,8.41111,Freudenstadt,Freudenstadt,23760,Baden-Württemberg
46.57,51.21278,11.76972,Burgenlandkreis,Freyburg,4578,Saxony-Anhalt
80.53,49.200,11.317,Neumarkt in der Oberpfalz,Freystadt,9118,Bavaria
48.64,48.800,13.550,Freyung-Grafenau,Freyung,7135,Bavaria
22.47,48.02056,8.93278,Tuttlingen,Fridingen,3111,Baden-Württemberg
81.20,48.350,10.983,Aichach-Friedberg,Friedberg,29916,Bavaria
50.17,50.333,8.750,Wetteraukreis,Friedberg,29477,Hesse
173.21,52.100,14.267,Oder-Spree,Friedland,2954,Brandenburg
141.73,53.650,13.533,Mecklenburgische Seenplatte,Friedland,6403,Mecklenburg-Western Pomerania
36.91,50.86667,10.56667,Gotha,Friedrichroda,7164,Thuringia
30.12,50.25556,8.63972,Hochtaunuskreis,Friedrichsdorf,25528,Hesse
69.91,47.650,9.483,Bodenseekreis,Friedrichshafen,61221,Baden-Württemberg
4.03,54.367,9.067,Nordfriesland,FriedrichstadtFrederiksstad,2666,Schleswig-Holstein
9.07,49.32556,7.09611,Saarbrücken,Friedrichsthal,9999,Saarland
83.67,52.73306,12.58306,Havelland,Friesack,2496,Brandenburg
247.14,53.02056,7.85861,Cloppenburg,Friesoythe,22512,Lower Saxony
88.79,51.13333,9.28333,Schwalm-Eder-Kreis,Fritzlar,14805,Hesse
145.31,51.05611,12.55500,Leipzig,Frohburg,12420,Saxony
56.21,51.47194,7.76583,Unna,Fröndenberg,20566,North Rhine-Westphalia
104.04,50.55083,9.67528,Fulda,Fulda,67980,Hesse
67.00,49.30972,12.84000,Cham,Furth im Wald,8923,Bavaria
82.57,48.05028,8.20917,Schwarzwald-Baar-Kreis,Furtwangen im Schwarzwald,8960,Baden-Württemberg
78.62,52.517,7.667,Osnabrück,Fürstenau,9520,Lower Saxony
212.61,53.18528,13.14556,Oberhavel,Fürstenberg,5782,Brandenburg
32.53,48.17778,11.25556,Fürstenfeldbruck,Fürstenfeldbruck,36843,Bavaria
70.55,52.367,14.067,Oder-Spree,Fürstenwalde/Spree,31992,Brandenburg
63.35,49.467,11.000,Urban district,Fürth,128223,Bavaria
43.52,47.567,10.700,Ostallgäu,Füssen,15538,Bavaria
47.65,53.700,11.117,Nordwestmecklenburg,Gadebusch,5461,Mecklenburg-Western Pomerania
65.05,48.80389,8.31944,Rastatt,Gaggenau,29932,Baden-Württemberg
62.56,49.000,9.767,Schwäbisch Hall,Gaildorf,12147,Baden-Württemberg
52.97,48.24944,9.21750,Sigmaringen,Gammertingen,6370,Baden-Württemberg
79.31,52.41833,9.59806,Hanover,Garbsen,61021,Lower Saxony
28.16,48.250,11.650,Munich,Garching bei München,17192,Bavaria
632.43,52.52639,11.39250,Altmarkkreis Salzwedel,Gardelegen,22154,Saxony-Anhalt
3.06,54.33056,8.78056,Nordfriesland,Garding,2844,Schleswig-Holstein
61.69,53.20000,14.38333,Uckermark,Gartz,2524,Brandenburg
65.44,54.317,13.350,Vorpommern-Rügen,Garz,2215,Mecklenburg-Western Pomerania
13.99,49.950,8.017,Mainz-Bingen,Gau-Algesheim,6873,Rhineland-Palatinate
24.04,51.11389,10.93472,Sömmerda,Gebesee,2118,Thuringia
75.24,50.42444,9.19972,Wetteraukreis,Gedern,7259,Hesse
33.18,53.43750,10.36750,Lauenburg,Geesthacht,31160,Schleswig-Holstein
356.20,53.633,8.750,Cuxhaven,Geestland,30966,Lower Saxony
45.21,50.43333,11.85000,Saale-Orla-Kreis,Gefell,2465,Thuringia
50.08,50.0951389,11.7398361,Bayreuth,Gefrees,4251,Bavaria
42.97,52.31167,9.60028,Hanover,Gehrden,15012,Lower Saxony
83,50.96528,6.11944,Heinsberg,Geilenkirchen,27518,North Rhine-Westphalia
71.75,50.717,9.967,Wartburgkreis,Geisa,4760,Thuringia
99.96,48.82583,12.39250,Straubing-Bogen,Geiselhöring,6912,Bavaria
88.33,48.667,11.600,Pfaffenhofen an der Ilm,Geisenfeld,11520,Bavaria
40.34,49.98444,7.96722,Rheingau-Taunus-Kreis,Geisenheim,11626,Hesse
73.74,47.92222,8.64639,Tuttlingen,Geisingen,6339,Baden-Württemberg
75.83,48.62444,9.83056,Göppingen,Geislingen an der Steige,28400,Baden-Württemberg
31.95,48.28750,8.81250,Zollernalbkreis,Geislingen,5875,Baden-Württemberg
54.71,51.050,12.683,Leipzig,Geithain,6818,Saxony
96.91,51.51972,6.33250,Kleve,Geldern,33760,North Rhine-Westphalia
45.18,50.200,9.167,Main-Kinzig-Kreis,Gelnhausen,23208,Hesse
104.84,51.517,7.100,Urban district,Gelsenkirchen,259105,North Rhine-Westphalia
75.09,50.04972,9.70556,Main-Spessart,Gemünden am Main,10006,Bavaria
58.67,50.967,8.967,Waldeck-Frankenberg,Gemünden,3855,Hesse
61.91,48.400,8.017,Ortenaukreis,Gengenbach,10950,Baden-Württemberg
230.72,52.400,12.167,Jerichower Land,Genthin,13582,Saxony-Anhalt
55.41,52.200,8.067,Osnabrück,Georgsmarienhütte,31778,Lower Saxony
40.38,49.24944,9.92028,Schwäbisch Hall,Gerabronn,4297,Baden-Württemberg
152.19,50.88056,12.08333,Urban district,Gera,92126,Thuringia
102.28,51.63306,11.61667,Mansfeld-Südharz,Gerbstedt,6964,Saxony-Anhalt
24.65,47.867,11.467,Bad Tölz-Wolfratshausen,Geretsried,25380,Bavaria
29.93,51.07639,12.90417,Mittelsachsen,Geringswalde,4212,Saxony
17.54,48.80000,9.06528,Ludwigsburg,Gerlingen,19784,Baden-Württemberg
21.61,48.133,11.367,Fürstenfeldbruck,Germering,40511,Bavaria
21.40,49.21667,8.36667,Germersheim,Germersheim,20643,Rhineland-Palatinate
82.09,48.76333,8.33417,Rastatt,Gernsbach,14147,Baden-Württemberg
40.11,49.750,8.483,Groß-Gerau,Gernsheim,10640,Hesse
64.33,50.22389,6.66139,Vulkaneifel,Gerolstein,7721,Rhineland-Palatinate
18.35,49.900,10.350,Schweinfurt,Gerolzhofen,6847,Bavaria
89.37,50.450,9.917,Fulda,Gersfeld,5480,Hesse
33.95,48.417,10.867,Augsburg,Gersthofen,22602,Bavaria
80.78,51.95694,7.00556,Borken,Gescher,17246,North Rhine-Westphalia
97.48,51.650,8.517,Soest,Geseke,21422,North Rhine-Westphalia
26.27,51.317,7.333,Ennepe-Ruhr-Kreis,Gevelsberg,30733,North Rhine-Westphalia
18.76,50.62361,12.92333,Erzgebirgskreis,Geyer,3385,Saxony
44.05,48.62167,10.24500,Heidenheim,Giengen,19711,Baden-Württemberg
72.56,50.58333,8.66667,Giessen,Giessen,90131,Hesse
104.86,52.48861,10.54639,Gifhorn,Gifhorn,42939,Lower Saxony
13.94,49.983,8.333,Groß-Gerau,Ginsheim-Gustavsburg,16843,Hesse
35.91,51.567,6.967,Recklinghausen,Gladbeck,75518,North Rhine-Westphalia
72.28,50.76806,8.58278,Marburg-Biedenkopf,Gladenbach,12285,Hesse
95.57,50.85000,13.78333,Sächsische Schweiz-Osterzgebirge,Glashütte,6730,Saxony
51.49,50.82333,12.54444,Zwickau,Glauchau,21965,Saxony
11.22,53.54056,10.21111,Stormarn,Glinde,18380,Schleswig-Holstein
39.70,54.83361,9.55000,Schleswig-Flensburg,GlücksburgLyksborg,6220,Schleswig-Holstein
22.76,53.79167,9.42194,Steinburg,Glückstadt,10779,Schleswig-Holstein
41.08,53.967,12.717,Rostock,Gnoien,2898,Mecklenburg-Western Pomerania
115.38,51.68389,6.16194,Kleve,Goch,34531,North Rhine-Westphalia
64.85,53.567,12.067,Ludwigslust-Parchim,Goldberg,3392,Mecklenburg-Western Pomerania
30.68,50.0115000,11.6873139,Bayreuth,Goldkronach,3479,Bavaria
63.29,51.967,13.600,Dahme-Spreewald,Golßen,2507,Brandenburg
159.96,52.067,11.833,Jerichower Land,Gommern,10484,Saxony-Anhalt
163.71,51.90722,10.43000,Goslar,Goslar,50184,Lower Saxony
69.58,50.94889,10.71833,Gotha,Gotha,45273,Thuringia
72.08,53.267,11.567,Ludwigslust-Parchim,Grabow,5559,Mecklenburg-Western Pomerania
63.79,48.850,13.383,Freyung-Grafenau,Grafenau,8167,Bavaria
216.24,49.717,11.900,Neustadt a.d.Waldnaab,Grafenwöhr,6419,Bavaria
29.57,48.050,11.967,Ebersberg,Grafing bei München,13805,Bavaria
121.15,53.00694,13.15861,Oberhavel,Gransee,5849,Brandenburg
55.37,50.750,9.467,Vogelsbergkreis,Grebenau,2376,Hesse
49.85,51.450,9.417,Kassel,Grebenstein,5720,Hesse
103.80,49.05194,11.36056,Roth,Greding,7135,Bavaria
50.50,54.083,13.383,Vorpommern-Greifswald,Greifswald,59282,Mecklenburg-Western Pomerania
84.87,50.65472,12.19972,Greiz,Greiz,20108,Thuringia
86.82,51.22917,10.94750,Kyffhäuserkreis,Greußen,5860,Thuringia
102.6,51.08833,6.58750,Rhein-Kreis Neuss,Grevenbroich,63941,North Rhine-Westphalia
140.26,52.09167,7.60833,Steinfurt,Greven,37709,North Rhine-Westphalia
52.32,53.867,11.167,Nordwestmecklenburg,Grevesmühlen,10439,Mecklenburg-Western Pomerania
21.4083,49.86389,8.56389,Darmstadt-Dieburg,Griesheim,27703,Hesse
217.38,51.23861,12.72528,Leipzig,Grimma,28149,Saxony
50.29,54.11000,13.04139,Vorpommern-Rügen,Grimmen,9369,Mecklenburg-Western Pomerania
70.06,51.15556,12.28056,Leipzig,Groitzsch,7579,Saxony
88.13,52.067,9.783,Hildesheim,Gronau,10711,Lower Saxony
78.63,52.21250,7.04167,Borken,Gronau,48576,North Rhine-Westphalia
18.27,49.800,8.833,Darmstadt-Dieburg,Groß-Bieberau,4677,Hesse
54.47,49.91917,8.48500,Groß-Gerau,Groß-Gerau,25685,Hesse
86.84,49.867,8.933,Darmstadt-Dieburg,Groß-Umstadt,21234,Hesse
37.62,51.25750,9.78444,Werra-Meißner-Kreis,Großalmerode,6323,Hesse
25.51,49.00139,9.29306,Ludwigsburg,Großbottwar,8507,Baden-Württemberg
80.76,50.58278,11.01056,Ilm-Kreis,Großbreitenbach,6104,Thuringia
96.79,51.283,13.550,Meissen,Großenhain,18062,Saxony
81.29,51.58306,14.00000,Oberspreewald-Lausitz,Großräschen,8455,Brandenburg
40.86,51.14444,14.01667,Bautzen,Großröhrsdorf,9659,Saxony
61.44,50.96639,13.27806,Mittelsachsen,Großschirma,5580,Saxony
37.88,49.633,11.250,Forchheim,"Gräfenberg, Bavaria",4177,Bavaria
158.90,51.717,12.433,Wittenberg,Gräfenhainichen,11467,Saxony-Anhalt
36.45,50.533,11.300,Saalfeld-Rudolstadt,Gräfenthal,1897,Thuringia
28.78,51.41667,13.46639,Meißen,Gröditz,6932,Saxony
59.67,51.93333,11.21667,Börde,Gröningen,3556,Saxony-Anhalt
89.25,50.600,8.950,Gießen,Grünberg,13706,Hesse
22.26,50.567,12.800,Erzgebirgskreis,Grünhain-Beierfeld,5768,Saxony
