area,lat,lon,district,name,population,state
10.71,49.10280,7.99913,Südliche Weinstraße,Bad Bergzabern,8271,Rhineland-Palatinate
55.27,50.90000,11.28083,Weimarer Land,Bad Berka,7520,Thuringia
275.33,51.04972,8.40000,Siegen-Wittgenstein,Bad Berleburg,18847,North Rhine-Westphalia
38.25,50.04778,11.67222,Bayreuth,Bad Berneck i.Fichtelgebirge,4384,Bavaria
48.01,53.07917,10.58333,Uelzen,Bad Bevensen,9237,Lower Saxony
49.76,51.200,11.567,Burgenlandkreis,Bad Bibra,2654,Saxony-Anhalt
35.56,50.68333,11.26667,Saalfeld-Rudolstadt,Bad Blankenburg,6191,Thuringia
24.14,53.91861,9.88444,Segeberg,Bad Bramstedt,15128,Schleswig-Holstein
19.94,50.50917,7.29639,Ahrweiler,Bad Breisig,9530,Rhineland-Palatinate
23.73,50.30944,9.79056,Bad Kissingen,Bad Brückenau,6470,Bavaria
23.77,48.06611,9.61000,Biberach,Bad Buchau,4347,Baden-Württemberg
54.64,50.300,8.267,Limburg-Weilburg,Bad Camberg,14184,Hesse
32.74,54.10694,11.90528,Rostock,Bad Doberan,12755,Mecklenburg-Western Pomerania
115.07,51.733,9.017,Höxter,Bad Driburg,18902,North Rhine-Westphalia
45.45,51.59194,12.58528,Nordsachsen,Bad Düben,7833,Saxony
102.67,49.45944,8.16806,Bad Dürkheim,Bad Dürkheim,18553,Rhineland-Palatinate
36.13,51.283,12.067,Saalekreis,Bad Dürrenberg,11499,Saxony-Anhalt
62.09,48.017,8.533,Schwarzwald-Baar-Kreis,Bad Dürrheim,13414,Baden-Württemberg
19.77,50.28194,12.23472,Vogtlandkreis,Bad Elster,3638,Saxony
15.36,50.33806,7.71056,Rhein-Lahn-Kreis,Bad Ems,9801,Rhineland-Palatinate
63.15,52.86750,9.69667,Heidekreis,Bad Fallingbostel,12174,Lower Saxony
91.07,51.35583,11.10111,Kyffhäuserkreis,Bad Frankenhausen,10019,Thuringia
131.73,52.78556,14.03250,Märkisch-Oderland,Bad Freienwalde,12286,Brandenburg
24.70,49.233,9.217,Heilbronn,Bad Friedrichshall,19504,Baden-Württemberg
9.049,51.87194,10.02528,Northeim,Bad Gandersheim,9492,Lower Saxony
88.75,50.85833,13.95000,Sächsische Schweiz-Osterzgebirge,Bad Gottleuba-Berggießhübel,5538,Saxony
70.18,48.450,13.200,Passau,Bad Griesbach im Rottal,8994,Bavaria
65.42,51.88111,10.56222,Goslar,Bad Harzburg,21820,Lower Saxony
33.03,48.80056,8.44083,Calw,Bad Herrenalb,8085,Baden-Württemberg
73.82,50.86833,9.70750,Hersfeld-Rotenburg,Bad Hersfeld,30039,Hesse
51.17,50.21667,8.60000,Hochtaunuskreis,Bad Homburg v. d. Höhe,54092,Hesse
48.3,50.64500,7.22694,Rhein-Sieg-Kreis,Bad Honnef,25759,North Rhine-Westphalia
20.09,50.51778,7.30861,Neuwied,Bad Hönningen,5982,Rhineland-Palatinate
36.44,52.15917,8.04722,Osnabrück,Bad Iburg,10540,Lower Saxony
14.85,51.633,9.450,Kassel,Bad Karlshafen,3587,Hesse
69.42,50.200,10.067,Bad Kissingen,Bad Kissingen,22421,Bavaria
55.63,49.850,7.867,Bad Kreuznach,Bad Kreuznach,51310,Rhineland-Palatinate
35.66,47.917,7.700,Breisgau-Hochschwarzwald,Bad Krozingen,20783,Baden-Württemberg
69.52,50.300,10.417,Rhön-Grabfeld,Bad Königshofen,6045,Bavaria
46.73,49.750,9.017,Odenwaldkreis,Bad König,9835,Hesse
16.85,50.93056,12.00972,Greiz,Bad Köstritz,3461,Thuringia
62.17,49.17694,12.85500,Cham,Bad Kötzting,7381,Bavaria
135.76,50.93028,8.41667,Siegen-Wittgenstein,Bad Laasphe,13412,North Rhine-Westphalia
129.37,51.10806,10.64667,Unstrut-Hainich-Kreis,Bad Langensalza,17211,Thuringia
85.36,51.367,11.833,Saalekreis,Bad Lauchstädt,8781,Saxony-Anhalt
69.79,51.14472,12.64528,Leipzig,Bad Lausick,8087,Saxony
41.54,51.63167,10.47056,Göttingen,Bad Lauterberg,10294,Lower Saxony
48.81,50.81444,10.35417,Wartburgkreis,Bad Liebenstein,7665,Thuringia
138.41,51.51667,13.40000,Elbe-Elster,Bad Liebenwerda,9224,Brandenburg
33.80,48.77417,8.73139,Calw,Bad Liebenzell,9629,Baden-Württemberg
50.99,51.78333,8.81667,Paderborn,Bad Lippspringe,16408,North Rhine-Westphalia
48.94,50.45000,11.65000,Saale-Orla-Kreis,Bad Lobenstein,5843,Thuringia
9.96,50.65194,7.95222,Westerwaldkreis,Bad Marienberg,6103,Rhineland-Palatinate
129.97,49.50000,9.76667,Main-Tauber-Kreis,Bad Mergentheim,24034,Baden-Württemberg
15.35,51.55000,14.71667,Görlitz,Bad Muskau,3681,Saxony
107.69,52.19917,9.46528,Hameln-Pyrmont,Bad Münder,17415,Lower Saxony
150.84,50.55306,6.76611,Euskirchen,Bad Münstereifel,17387,North Rhine-Westphalia
32.55,50.367,8.750,Wetteraukreis,Bad Nauheim,32493,Hesse
23,52.33694,9.37861,Schaumburg,Bad Nenndorf,11279,Lower Saxony
63.4,50.54472,7.11333,Ahrweiler,Bad Neuenahr-Ahrweiler,28634,Rhineland-Palatinate
36.79,50.32194,10.21611,Rhön-Grabfeld,Bad Neustadt an der Saale,15261,Bavaria
64.8,52.200,8.800,Minden-Lübbecke,Bad Oeynhausen,48535,North Rhine-Westphalia
52.6,53.81167,10.37417,Stormarn,Bad Oldesloe,24784,Schleswig-Holstein
47.78,50.217,9.350,Main-Kinzig-Kreis,Bad Orb,10295,Hesse
61.96,51.98667,9.26361,Hameln-Pyrmont,Bad Pyrmont,19162,Lower Saxony
